chain,token,tx_hash,block_or_slot,timestamp,datetime_utc,amount,sender_wallet,receiver_wallet
ethereum,USDT,0xef91cd3de5206c938282189f297e587c17c1b011d39c15858451e25bafe48c80,25333272,0,,7100.10,0x6b55115a771cbaa066d1d45a87ffe526caa916fa,0xc7e7863b9021f3ca6dc45c292240905756578afd
ethereum,USDT,0x126bdbce2b3ab8ee21edfb4c4f67300567cbf0f43ba15b1a2135335354a651dd,25333172,0,,7499.60,0xc1a31b0ed2917e775e48973c41d7280443f1421b,0x18e296053cbdf986196903e889b7dca7a73882f6
ethereum,USDC,0xf187173a436d5b3c09cfcdfe1c9448174edeefe29fb2fa999d897f10447bbd51,25333255,0,,7717.40,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,0x130965c5ed0734713497d9098794959f63a059bb
ethereum,USDT,0xf87f8c27a9998e40520648d1496a88f76c86f983639ba2f2c956072566edd98d,25333298,0,,7463.87,0xbd15219b0012e09630f0aabc496d0b41dd87e51b,0x8aebf33502656e66fb19b2041f236900a0c2b1b6
ethereum,USDT,0xa141a54059a632e9a02dbd1c31a31cbb9fd9cdba17ab2d03800ebf283949407d,25333726,0,,7996.90,0xe385e8caaaee4f4faf5f65ab8a550d4ab2dc9535,0x7ab6c736baf1dac266aab43884d82974a9adcccf
ethereum,USDT,0x99bcd5f36c3a46c7cc859d0b1bb0527deee175e8a21eccab206f696253fdaf2e,25333803,0,,7602.47,0x03a3633b5a3ff5f8efc5fd9945ab49a60fb6c638,0xc6c32d60e56fd8133cb6eb0cd6e0ba6a6ef9342c
ethereum,USDC,0xf139eaf8e8efa60bf2caaf17839b28fd0d6b87f13956af2bb1764a9ffb994cf2,25333694,0,,7563.75,0x55fe002aeff02f77364de339a1292923a15844b8,0x0510b1a8b756836e0563358737d445aa8589cfe7
ethereum,USDC,0xc2b13d265d04ce7fee102e91c3cd9e743f9abc774f3124f4011497b433603397,25333628,0,,7576.82,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0x3526977e2f4006c3c21e1e324578d6af48c66d16
ethereum,USDC,0xde7d1bbdb4415b0ce3b01aca8cffb3898390c26104b5ca5a313c8e9389ef00ed,25333633,0,,7576.82,0x3526977e2f4006c3c21e1e324578d6af48c66d16,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597
ethereum,USDT,0xb4bef3e3195824081715c0e564a7abaab5079235c200f16bd91edaf990e61282,25333127,0,,7244.80,0x2ace57bbd944d5ecac94d8e1e645c7f8730c38dc,0x07579ad868a324313e4ac20352209c49ab566721
ethereum,USDT,0x4dd58063b8a0b85f6d805824bbdb249e9880df6dd64a510ffd2497a9a59e91fd,25333194,0,,7227.36,0x349dc2a3da0b9ec6aea24c4bd1df77a41cd0cff5,0x073d324a8912f40b20ece6c897bee19b51f2ca9e
ethereum,USDC,0xdc4c7091421390246decbc4289caf832859d1ade6526fde03c9da9cd68a27824,25333419,0,,7999.40,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,0x2a1fe568c295bf0aee9e557a083ed00b7189142d
ethereum,USDT,0xd1c71ebc1c1b1b273366f23e8285357cfcb146387a35195e05f7c7e2803c385a,25333536,0,,7996.90,0x2982bb64bcd07ac3315c32cb2bb7e5e8a2de7d67,0xe385e8caaaee4f4faf5f65ab8a550d4ab2dc9535
ethereum,USDC,0xb461dfb7de5410e1ac91c85fec111fb7e542aa37eb6bf477f23b2263dc027f6a,25333450,0,,7609.99,0x71c83e5695c777a39aa765408366597679d910f1,0x3b32b9beb62de78005190ca134771066e8187aa9
ethereum,USDC,0xfcdfe949bd933e200fb0b73e7f2c21bcc36fbafb1a69bc88cff08155e2494d66,25333174,0,,7043.17,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0x4c2c0f0bb2631b02ac9299c59690914ee7a200b8
ethereum,USDC,0xeee451792de6877c9ffaf752727b567f870fff1ee31dd2f1156b4c8d9eb1e6b4,25333078,0,,6618.20,0x0510b1a8b756836e0563358737d445aa8589cfe7,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43
ethereum,USDC,0x5b9bba72b71c3e746161e62949d9b268bf69b8a129ff6d32e86c8aad53b7b665,25333159,0,,6676.57,0xd22c78254883d9e76143bbea58e32e27a6dcadda,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae
ethereum,USDC,0x243269e2a3be18c8ddd14a1e9f61a62646a464e09219f2ec39517b5afbfc7437,25333567,0,,6544.93,0x55fe002aeff02f77364de339a1292923a15844b8,0x0510b1a8b756836e0563358737d445aa8589cfe7
ethereum,USDT,0xa5f86ab927beba3d1e0f3662779a230848c407dab8b5d2a3d3308e7d8738cbef,25333351,0,,6387.53,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0x119affc855d9b14e8ce5c34aa74a2f76439d3220
ethereum,USDT,0x8749256ecdf4f4bc02c980eddb362f6521d5740ddb68a7252899cb45967b7742,25333560,0,,6199.20,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0xd2c150a28fd31b3de42e15ae6399dc533ea38e66
ethereum,USDT,0x1c39e6f018c2c250720adc0aff9533335e488f637eba57a1958655bdd51c2a7e,25333386,0,,6387.53,0x119affc855d9b14e8ce5c34aa74a2f76439d3220,0xaa8ba7d4611437141192e7ceced531bc0a133efb
ethereum,USDT,0xbd74a7f5089869329dfa67e76858c7c0855e9facebd6e4ca80176fe14080f467,25333323,0,,6387.53,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xf9307ad6cf0406a241d79e661d07044445194a7a
ethereum,USDC,0x1a40b373bbeee712782659b622d1a9e01b06eadb6e03c509bbb31554d69024ca,25333181,0,,6101.21,0x7bef16275a88bd9c3004dbd0b85da65b08705c24,0xf2bdd0de3630b3410689d0dea0aefc8652b4b302
ethereum,USDT,0x79e8faf6304302b94ad51e0c7ef7c6d1f820167d15f7f16a9d2723e798c05356,25333742,0,,6408.35,0xe5a1eb648a394bfb8e54489fdaa54dd18a63283b,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43
ethereum,USDC,0xf1f78df674339524ca38903acef382786be1b22e39d9aaf7208d72e1e687352f,25333591,0,,6561.08,0x0510b1a8b756836e0563358737d445aa8589cfe7,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43
ethereum,USDT,0x42c0312fbc0c113200193c1b8a53f4cd7443d2a96c3efa6e018685ba9413f077,25333518,0,,6936.49,0xb82a359bfa74d122898e06b8462a53514a46eb26,0x990e555d66eee0e017c8c1944c213fa2504d8dfa
ethereum,USDT,0x215a1e7c46285e7c6fcc016f198a3b088162d2b668b98e355a2f5a55018e0890,25333108,0,,6020.03,0xd97caea2e96bf047bfb675bbaa6e61410d64ac40,0x6b55b8e5ad6449b258f2faf00ad78768ddaa3900
ethereum,USDT,0x677d12cde1dea16da34d245effc9afab77f6072120cbfb017b6cc27236c3ba5d,25333481,0,,6069.01,0x657674fe51df919f7748a96e4e1916e3d691ea8c,0x559432e18b281731c054cd703d4b49872be4ed53
ethereum,USDT,0xa795b991c8c4553a3ae6d7959f50f1ca4d3939ac3a67bd8f8f20a8fa9a4b0793,25333725,0,,6400.35,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0xe5a1eb648a394bfb8e54489fdaa54dd18a63283b
ethereum,USDT,0x4e38849e19b77ebab9fa40b82acd7dfd816052a5e646e42dfc5f8e849926059b,25333697,0,,6999.88,0xcf3061b9e65f1f84d0839bb54d79a471eed7b11a,0xc4e9767d9c54d69df3d288fba205befb23678cbd
ethereum,USDT,0xddfed5d6756604e714001df374724b8e6929996cff70d464e6e6ef7a002017ee,25333352,0,,6702.28,0xf9307ad6cf0406a241d79e661d07044445194a7a,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43
ethereum,USDT,0x3ea2ec000ea6fac17c448ced3432516864a8c7ef7b769b33721ccd83fe6143de,25333165,0,,6132.20,0xd91efec7e42f80156d1d9f660a69847188950747,0x975c02a93ac8b82348891fa502d344fb2ddf1b83
ethereum,USDC,0xeb76ced1b0103228073b720cc5a01c9ca60e27830e41ae71c53bc90db88a5a2a,25333600,0,,6997.90,0x8192c707dc10da7bc9f6dca9c7ed6f24b86c7801,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
ethereum,USDT,0xa6b6a924f39c8737339fb4b21498da72cb997b4f74a57d24f65ded622a750132,25333479,0,,6069.01,0x88354976bbcaec2d1579a6a88356800a46ace84a,0x657674fe51df919f7748a96e4e1916e3d691ea8c
ethereum,USDT,0xf49b513a5f9d3322402b74950fd33e304908d93ff1f0775c7316a6760acb273f,25333171,0,,6132.20,0x975c02a93ac8b82348891fa502d344fb2ddf1b83,0x3ec3c2947f51a4e3dd7e52b49f14f23ff86b1ed6
ethereum,USDT,0xa7e23efbc84723e99dc9a12c011ace5fa9efb1320540fa051b60402ef2feca25,25333613,0,,6149.60,0x3d1d8a1d418220fd53c18744d44c182c46f47468,0x90fc910448b835bb9ab0ef810c4d8d3164801f18
ethereum,USDC,0x69dc5407bf687defbd66e5f2947de411e5c9244fb41a5c37b68f4584ce280b06,25333810,0,,6857.90,0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,0xebf6c883a1d60ab38c8ed4780aadbfe4c805ed4f
ethereum,USDC,0x927c914f53050344d1ac71da3a5563e80037cca6044b41e301366f94e97a85c4,25333170,0,,6400.62,0x55fe002aeff02f77364de339a1292923a15844b8,0x0510b1a8b756836e0563358737d445aa8589cfe7
ethereum,USDC,0x3fa5839e5e3233b4530cdf210fd337375008a7e8c8224d6dcd257a542761fa5a,25333083,0,,6676.57,0xa72937d0b7745db4a00670a666e1e4e8b0b62e92,0xd22c78254883d9e76143bbea58e32e27a6dcadda
ethereum,USDT,0xbaf31a557f7f74c5d24f2c31290d4e23bb4b8eb5fbb5fe67a82ff5c1d7b12aab,25333143,0,,6717.64,0x066eb1954a81b54c286207a816aaa20d4e16d274,0xa4d65fd5017bb20904603f0a174bbbd04f81757c
ethereum,USDT,0x7c2e217c19ce95da214bc84c853dd6d4d5ecabed6a7f5cde2f2f2c9967ec3e12,25333482,0,,6086.40,0x25846dd0c952da6ede2f5da0e9970fa093889d21,0x5463a9ba3bdc795aac086ebde037d2bbe10c8e07
ethereum,USDT,0x72171255d8c4dcda84fa7ab3d80ba07e2f021d98e258dddc19478b642c895021,25333664,0,,6128.30,0xd95e553af510c839c3a77b796fab0c1e15049508,0xb672292589c7265ae2f4f4d297639ba4f5771eb1
ethereum,USDC,0x12e0d631241ee5b11f457d3a50f9d99a23713d42792b2bd7cc79fa81e630a8b9,25333553,0,,6997.90,0x4e565f63257d90f988e5ec9d065bab00f94d2dfd,0x8192c707dc10da7bc9f6dca9c7ed6f24b86c7801
ethereum,USDT,0xbb20df5b0070a005c5d1f5ba086cf9727f5167c72f099d86e27a027e75d33302,25333148,0,,6548.96,0xb7fdb3250263440fa37f376dcec00f727c54bacf,0xf905254138787ceef57caf01e0f4cd378baa160b
ethereum,USDC,0x457951763562604fb0e10a39dca0517a48d7b6bce8ede6dd9a354667057d2293,25333193,0,,6400.62,0x0510b1a8b756836e0563358737d445aa8589cfe7,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43
ethereum,USDT,0x332114a1d32a4c9dba3bebc8e4eedf1a5bda9bf44f3ba7a6d1d762bf30cfe977,25333152,0,,6548.96,0xf905254138787ceef57caf01e0f4cd378baa160b,0x2cff890f0378a11913b6129b2e97417a2c302680
ethereum,USDT,0xf6bbd2d29c3809d8cb5b8948157e3596bd92251667f1d79f8559e241c6cc6392,25333525,0,,5001.50,0x8f10b468b06c6fd214b65f87778827f7d113f996,0xc9f93163c99695c6526b799ebca2207fdf7d61ad
